PeXrefScanner report for C:\servers\scum\SCUM\Binaries\Win64\SCUMServer.exe
ImageBase=0x140000000
Searched strings:
  [UTF-16] "Player must be developer" @ VA 0x1459550e0
  [UTF-16] "Not authorized to execute command" @ VA 0x145955180
  [UTF-16] "Command is on cooldown. Try again later." @ VA 0x145955120
  [UTF-16] "Command is disabled in shipping build" @ VA 0x145955090

=== XREF: [FUNC] call/ref to 0x0x142685AE0 at VA 0x140711e4e (file offset 0x71144e) ===
  0x140711cbe  mov [rsp+0x30], eax
  0x140711cc2  lea r8, [0x0000000145CE2030]
  0x140711cc9  mov [rsp+0x28], rax
  0x140711cce  lea rdx, [0x0000000142685C70]
  0x140711cd5  lea rcx, [0x0000000142688520]
  0x140711cdc  mov [rsp+0x20], al
  0x140711ce0  call 0x0000000142D14700
  0x140711ce5  add rsp, 0x48
  0x140711ce9  ret
  0x140711cea  int3
  0x140711ceb  int3
  0x140711cec  int3
  0x140711ced  int3
  0x140711cee  int3
  0x140711cef  int3
  0x140711cf0  sub rsp, 0x48
  0x140711cf4  xor eax, eax
  0x140711cf6  lea r9, [0x0000000145982368]
  0x140711cfd  mov [rsp+0x30], rax
  0x140711d02  lea r8, [0x0000000145CE2290]
  0x140711d09  mov [rsp+0x28], rax
  0x140711d0e  lea rdx, [0x0000000142686080]
  0x140711d15  lea rcx, [0x0000000142688550]
  0x140711d1c  mov [rsp+0x20], al
  0x140711d20  call 0x0000000142D14700
  0x140711d25  add rsp, 0x48
  0x140711d29  ret
  0x140711d2a  int3
  0x140711d2b  int3
  0x140711d2c  int3
  0x140711d2d  int3
  0x140711d2e  int3
  0x140711d2f  int3
  0x140711d30  sub rsp, 0x48
  0x140711d34  xor eax, eax
  0x140711d36  lea r9, [0x0000000145982368]
  0x140711d3d  mov [rsp+0x30], rax
  0x140711d42  lea r8, [0x0000000145CE28B0]
  0x140711d49  mov [rsp+0x28], rax
  0x140711d4e  lea rdx, [0x0000000142686340]
  0x140711d55  lea rcx, [0x0000000142688580]
  0x140711d5c  mov [rsp+0x20], al
  0x140711d60  call 0x0000000142D14700
  0x140711d65  add rsp, 0x48
